id,title,url,source,publish_date,isFakeNews,nb_title_found,url_rank,src_rank
Fake_1-Webpage,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,http://www.addictinginfo.org/2016/09/19/proof-the-mainstream-media-is-manipulating-the-election-by-taking-bill-clinton-out-of-context/,http://www.addictinginfo.org,{'$date': 1474243200000},,,,
Fake_10-Webpage,Charity: Clinton Foundation Distributed “Watered-Down” AIDS Drugs to Sub-Saharan Africa – Eagle Rising,http://eaglerising.com/36899/charity-clinton-foundation-distributed-watered-down-aids-drugs-to-sub-saharan-africa/,http://eaglerising.com,{'$date': 1474416521000},,,,
Fake_11-Webpage,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,http://eaglerising.com/36880/a-hillary-clinton-administration-may-be-entirely-run-by-a-figurehead/,http://eaglerising.com,{'$date': 1474416638000},,,,
Fake_12-Webpage,Trump’s Latest Campaign Promise May Be His Most Horrible One Yet,http://www.addictinginfo.org/2016/09/19/trumps-latest-campaign-promise-may-be-his-most-horrible-one-yet/,http://www.addictinginfo.org,{'$date': 1474243200000},,,,
Fake_13-Webpage,Website is Down For Maintenance,http://www.proudcons.com/clinton-foundation-caught-in-their-most-disturbing-scheme-yet-countless-people-died/,http://www.proudcons.com,,,,,
Fake_14-Webpage,Obama Pushes One World Government,http://allenwestrepublic.com/2016/09/20/obama-pushes-one-world-government/,http://allenwestrepublic.com,{'$date': 1474329600000},,,,
Fake_15-Webpage,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,http://eaglerising.com/36847/clinton-foundation-spent-5-7-on-charity-rest-went-to-salaries-and-other-expenses/,http://eaglerising.com,{'$date': 1474326713000},,,,
Fake_16-Webpage,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,http://100percentfedup.com/new-disturbing-video-shows-hillarys-campaign-likely-faked-audience-nc-rally/,http://100percentfedup.com,{'$date': 1474328384000},,,,
Fake_17-Webpage,Is it the Beginning of the End for Hillary Clinton? – Eagle Rising,http://eaglerising.com/36912/is-it-the-beginning-of-the-end-for-hillary-clinton/,http://eaglerising.com,{'$date': 1474444240000},,,,
Fake_18-Webpage,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,http://conservativebyte.com/2016/09/hillary-bad-mouths-christians/,http://conservativebyte.com,,,,,
Fake_19-Webpage,Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. ⋆ US Herald,https://goo.gl/aRYFof,https://goo.gl,{'$date': 1474412623000},,,,
Fake_2-Webpage,Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' ⋆ US Herald,http://usherald.com/breaking-declassified-docs-show-that-obama-admin-created-isis-in-2012-to-use-as-a-tool?utm_source=aep&utm_medium=obamadeclassifiedisistool&utm_campaign=fbext,http://usherald.com,{'$date': 1432650030000},,,,
Fake_20-Webpage,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,http://eaglerising.com/36880/a-hillary-clinton-administration-may-be-entirely-run-by-a-figurehead/,http://eaglerising.com,{'$date': 1474416638000},,,,
Fake_21-Webpage,BREAKING: Did Hillary Clinton Have a Nervous Breakdown?,http://theblacksphere.net/2016/09/breaking-did-hillary-clinton-have-a-nervous-breakdown/,http://theblacksphere.net,{'$date': 1474455643000},,,,
Fake_22-Webpage,Hillary Denies She and Obama Founded ISIS…Then This Video Shows Up,,,,,,,
