id,title,url,source,publish_date,nb_title_found,url_rank,src_rank,isFakeNews
Real_1-Webpage-P,"Trump Just Insulted Millions Who Lost Everything In Bush's Recession, ""That's Just Business""",http://occupydemocrats.com/2016/09/27/trump-just-insulted-millions-lost-everything-bushs-recession-thats-just-business/,http://occupydemocrats.com,{'$date': 1474934400000},,,,
Real_10-Webpage-P,Famous dog killed in spot she waited a year for her owner to return to! [VIDEO],http://rightwingnews.com/top-news/famous-dog-killed-spot-waited-year-owner-return/,http://rightwingnews.com,{'$date': 1474948336000},,,,
Real_100-Webpage-P,House oversight panel votes Clinton IT chief in contempt,http://cnn.it/2deaH2d,http://cnn.it,,,,,
Real_101-Webpage-P,"America Just Tragically Lost A Country Music Icon, Please Pray For Jean Shepard’s Family",http://newsbake.com/entertainment-news/music-entertainment/america-just-tragically-lost-a-country-music-icon-please-pray-for-jean-shepards-family/?utm_source=Right+Wing+News&utm_medium=Arnold+Palmer%2F9%2F26&utm_content=Right+Wing+News%2FLegendary+Country%2F9%2F26,http://newsbake.com,{'$date': 1474898600000},,,,
Real_102-Webpage-P,Monuments to the Battle for the New South,http://politi.co/2dd9U1x,http://politi.co,{'$date': 1473941820000},,,,
Real_103-Webpage-P,"RACE TIED on debate day; Colo. and Pa. have turned tight -- CLINTON hosting more than 1,200 watch parties -- THE PLAYBOOK INTERVIEW: Stephanie Schriock -- B’DAY: Dave Weigel",http://politi.co/2dkzgKC,http://politi.co,{'$date': 1474873832000},,,,
Real_104-Webpage-P,Giuliani slams Lester Holt for fact-checking like Candy Crowley,http://politi.co/2dd2Ajf,http://politi.co,{'$date': 1474971551000},,,,
Real_105-Webpage-P,Kaine doesn't feel bad for Pence,http://politi.co/2cRoo3f,http://politi.co,{'$date': 1474452760000},,,,
Real_106-Webpage-P,Anti-Trump Super PAC Launches Pre-Debate Video Featuring Hofstra Students,http://abcn.ws/2dgPtRo,http://abcn.ws,,,,,
Real_107-Webpage-P,Glenn Beck shares buyer's remorse on Cruz endorsement,http://politi.co/2dmOPx8,http://politi.co,{'$date': 1474902647000},,,,
Real_108-Webpage-P,NY Gov. Andrew Cuomo disputes Trump's claim cops are 'afraid' to do their jobs,http://cnn.it/2d3tTeL,http://cnn.it,,,,,
Real_109-Webpage-P,Clinton economy speech to focus on valuing people with disabilities,http://cnn.it/2deB1Fu,http://cnn.it,,,,,
Real_11-Webpage-P,Trump: 'I was going to say something extremely rough' to Clinton,http://politi.co/2cYOq5I,http://politi.co,{'$date': 1474931249000},,,,
Real_110-Webpage-P,The 8 Biggest Unforced Errors in Debate History,http://politi.co/2dlg4MU,http://politi.co,{'$date': 1474717800000},,,,
Real_111-Webpage-P,Trump Calls For This Racist Policy To Be Forced On Every State,http://www.addictinginfo.org/2016/09/21/trump-calls-for-this-racist-policy-to-be-forced-on-every-state/,http://www.addictinginfo.org,{'$date': 1474416000000},,,,
Real_112-Webpage-P,Obama Claims It Will Be A Personal Insult If You Don’t Vote For Hillary [VIDEO],http://rightwingnews.com/top-news/obama-claims-will-personal-insult-dont-vote-hillary-video/,http://rightwingnews.com,{'$date': 1474245269000},,,,
Real_113-Webpage-P,Robert Kennedy Would Have Hated Donald Trump,http://politi.co/2cGb5l5,http://politi.co,{'$date': 1474560600000},,,,
Real_114-Webpage-P,Is West Virginia Holding America’s Weirdest Election?,http://politi.co/2d2EDuM,http://politi.co,{'$date': 1474454580000},,,,
Real_115-Webpage-P,This Was the Trump Hillary Wanted America to See—But Did It Work?,http://politi.co/2dcfCgO,http://politi.co,{'$date': 1474995060000},,,,
Real_116-Webpage-P,Pence: There's too much talk of police department 'racism',http://politi.co/2cUFU8G,http://politi.co,{'$date': 1474559104000},,,,
Real_117-Webpage-P,Trump Jr. Once Again Shows His Lack Of Humanity With Disgusting Tweet About Syrian Refugees,http://www.addictinginfo.org/2016/09/20/trump-jr-once-again-shows-his-lack-of-humanity-with-disgusting-tweet-about-syrian-refugees/,http://www.addictinginfo.org,{'$date': 1474329600000},,,,
Real_118-Webpage-P,Clinton demands Charlotte police video release 'without delay',http://politi.co/2d6lgRT,http://politi.co,{'$date': 1474637900000},,,,
Real_119-Webpage-P,"Muslim Afghani Rapes 2-YEAR-OLD, Gets 2 Years in Prison…Declares Himself ‘Superstar’ – Eagle Rising",http://eaglerising.com/36944/muslim-afghani-rapes-2-year-old-gets-2-years-in-prison-declares-himself-superstar/,http://eaglerising.com,{'$date': 1474527602000},,,,
Real_12-Webpage-P,Trump needles Clinton: ‘Sleep well Hillary — see you at the debate!’,http://politi.co/2cGp6EH,http://politi.co,{'$date': 1474368432000},,,,
Real_120-Webpage-P,"TRUTH COMES OUT! Keith Lamont Scott's Did This To His Wife Last Year and She Said ""He is a Killer"" ⋆ Freedom Daily",http://freedomdaily.com/truth-comes-keith-lamont-scotts-wife-last-year-said-killer/,http://freedomdaily.com,{'$date': 1475010506000},,,,
Real_13-Webpage-P,"Trump Won’t Tell America Where His Products Are Made, So Here’s A Handy Guide (IMAGES)",http://addictinginfo.org/2016/09/26/trump-wont-tell-america-where-his-products-are-made-so-heres-a-handy-guide-images/,http://addictinginfo.org,{'$date': 1474848000000},,,,
Real_14-Webpage-P,Black Caucus marches to DOJ to protest shootings,http://politi.co/2cTzPJz,http://politi.co,{'$date': 1474536006000},,,,
Real_15-Webpage-P,Trump Silent As Police Credit A Sikh Immigrant With Capturing NYC Bomber,http://occupydemocrats.com/2016/09/20/trump-silent-police-credit-sikh-immigrant-capturing-nyc-bomber/,http://occupydemocrats.com,{'$date': 1474329600000},,,,
Real_16-Webpage-P,Clinton on Trump's birther claim: A 'racist lie',http://politi.co/2d25FGy,http://politi.co,{'$date': 1474928824000},,,,
Real_17-Webpage-P,When does early voting start in every state?,http://politi.co/2d3R8Jw,http://politi.co,{'$date': 1474435110000},,,,
Real_18-Webpage-P,Rep. Peter King: We shouldn't be 'pandering' to political correctness,http://politi.co/2cNmBKW,http://politi.co,{'$date': 1474283903000},,,,
