id,title,url,source,publish_date,nb_title_found,url_rank,src_rank,isFakeNews
Real_1-Webpage,Another Terrorist Attack in NYC…Why Are we STILL Being Politically Correct – Eagle Rising,http://eaglerising.com/36942/another-terrorist-attack-in-nyc-why-are-we-still-being-politically-correct/,http://eaglerising.com,{'$date': 1474528230000},,,,
Real_10-Webpage,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",http://abcn.ws/2d4lNn9,http://abcn.ws,,,,,
Real_11-Webpage,"Obama To UN: ‘Giving Up Liberty, Enhances Security In America…’ [VIDEO]",http://rightwingnews.com/barack-obama/obama-un-giving-liberty-enhances-security-america/,http://rightwingnews.com,{'$date': 1474476044000},,,,
Real_12-Webpage,Trump vs. Clinton: A Fundamental Clash over How the Economy Works,http://politi.co/2de2qs0,http://politi.co,{'$date': 1474974420000},,,,
Real_13-Webpage,"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",http://abcn.ws/2dh2NFs,http://abcn.ws,,,,,
Real_14-Webpage,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire – No One Helps!? [VIDEO]",http://rightwingnews.com/black-lives-matter/chaos-nc-protest-mob-ambushes-female-truck-driver-loots-truck-sets-cargo-fire-no-one-helps/,http://rightwingnews.com,{'$date': 1474473199000},,,,
Real_15-Webpage,10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,http://abcn.ws/2d56mMD,http://abcn.ws,,,,,
Real_16-Webpage,Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,http://abcn.ws/2cTj7ap,http://abcn.ws,,,,,
Real_17-Webpage,Jeb Bush to lecture at Harvard this fall,http://cnn.it/2d7qa20,http://cnn.it,,,,,
Real_18-Webpage,Clinton vs. Trump: The debate before the debate,http://politi.co/2d0l760,http://politi.co,{'$date': 1474885803000},,,,
Real_19-Webpage,Is Hillary in a No-Win Situation?,http://politi.co/2d0FTlN,http://politi.co,{'$date': 1474906020000},,,,
Real_2-Webpage,Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',http://cnn.it/2cRxlv5,http://cnn.it,,,,,
Real_20-Webpage,Johnson: 'I’m going to sleep well at the end of all this',http://politi.co/2cx5AZI,http://politi.co,{'$date': 1474797888000},,,,
Real_21-Webpage,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,http://abcn.ws/2cVpv23,http://abcn.ws,,,,,
Real_22-Webpage,Senate Dems Move To Force Trump To Release His Tax Returns,http://occupydemocrats.com/2016/09/23/senate-dems-move-force-trump-release-tax-returns/,http://occupydemocrats.com,{'$date': 1474588800000},,,,
Real_23-Webpage,Dem congressman to IRS: Audit the Trump Foundation,http://cnn.it/2diatmB,http://cnn.it,,,,,
Real_24-Webpage,Armed Intruders Break in House…Armed Resident Responds – Eagle Rising,http://eaglerising.com/36992/caught-on-video-armed-intruders-break-in-housearmed-resident-responds/,http://eaglerising.com,{'$date': 1474702231000},,,,
Real_25-Webpage,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",http://politi.co/2dojlvi,http://politi.co,{'$date': 1474963260000},,,,
Real_26-Webpage,One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS… [VIDEO],http://rightwingnews.com/black-lives-matter/one-critically-wounded-as-charlotte-police-endure-second-night-of-riots-video/,http://rightwingnews.com,{'$date': 1474550242000},,,,
Real_27-Webpage,Rouhani: Iran deal able to weather the election,http://politi.co/2da5pR0,http://politi.co,{'$date': 1474483299000},,,,
Real_28-Webpage,“How Can we LEAD When we Can’t Even Control Our Own Cities?” [VIDEO] – Eagle Rising,http://eaglerising.com/36966/trump-how-can-we-lead-when-we-cant-even-control-our-own-cities-video/,http://eaglerising.com,{'$date': 1474615804000},,,,
Real_29-Webpage,9 times Ted Cruz insulted Donald Trump before endorsing him,http://politi.co/2cSUHmo,http://politi.co,{'$date': 1474649129000},,,,
